Job Title,Company Name,Job Location,Job Description,Release Date,Seniority level,Employment type,Department,Industries
Marketing Data Analyst,Meta,"Daly City, CA","Remote Locations:San Francisco Bay Area, CA preferredOpen to:Seattle, WARedmond, WALos Angeles, CA*West Coast Candidates Only*Contract Length6 MonthsJob DescriptionMeta’s global Media Intelligence and Analysis team is looking for a data analyst to help measure the impact of the company’s communications work across traditional news outlets as well as social media. The role will be based in the US.As a data analyst, you will be responsible for carrying out regular quantitative analysis as well as establishing meaningful success metrics for the communications team, and refining existing measurement frameworks. A key part of this role will be to interrogate large sets of data, combining and weighting insights from different tools and sources, while accounting for context and the strengths and weaknesses of each data point.The ideal candidate will excel at turning abstract data into actionable insights, constantly striving to improve the way in which data is collected and analyzed. You’ll show attention to detail, strong organizational skills and flexibility in a fast-paced environment. You’ll be working collaboratively within a global team and consistently delivering high-quality work, even under severe time constraints.Overall, you will play a key role in analyzing the true impact of major news stories about the company. In turn, you’ll be feeding into important strategic decisions by Meta’s global Communications and Public Affairs leadership team.This role is ideal for someone who has a strong background in data analysis, whether in performance/ digital marketing, academic research, a think tank, or after working for a media agency, media analysis firm, or media measurement platform. By analyzing Meta’s media activity, you will be at the forefront of building data frameworks that capture proactive and reactive media cycles on a large scale around the world. This role provides the ideal basis for a further career in Meta’s communications team or in some of the world’s most high-profile organizations.Job ResponsibilitiesInterrogate large sets of data from different sources to evaluate the impact of Meta’s communications work against pre-defined success metricsSupport the communications team in developing meaningful success metrics for its campaigns and initiatives across traditional (news) media outlets as well as owned, paid-for and earned social media activitySupport in developing new quantitative frameworks to show the true impact of Meta’s global communications strategySet efficient processes to collect and analyze data from different sources across the worldCreate reports that visualize insights to communicate the impact of different news cycles across the organization and inform future strategyMinimum Qualification2+ years of experience in data analysis e.g. in the fields of performance/ digital marketing, academic research or after working for a media agency, media analysis firm, a media measurement platform or think tankExcellent data manipulation skills using Excel, Sheets or similar toolsExperience in extracting and interrogating data from across a variety of channels and sourcesBachelor's degree in Communications, Marketing, Economics, Statistics or related fieldPreferred QualificationExperience in working with media monitoring tools or MarTech platforms a plusExperience in carrying out measurement projects using data platforms to monitor media coverage and analyze social media conversationUnderstanding of metrics and analytics within the media environmentExperience working at a technology company",6 days ago,Not Applicable,Contract,Information Technology,Software Development
Data Analyst,Ameex Technologies,"Atlanta, GA","About AmeexAmeex Technologies is one of the fastest growing digital transformation companies in US and have been recognized in Inc 5000 consecutively for 8 years. We are headquartered in Schaumburg, Illinois with a global team of more than 700 professionals. We provide strategic digital consulting and growth consulting services to our global fortune 500 and midmarket enterprise clients. We are committed to deliver high quality digital technology, digital product engineering, MARTECH, and end to end experience and engagement solutions to our global customers. For more information on our company, please visit our website at: https://www.ameexusa.com/ .Our solutions spaces extends in the areas of custom application development, Content, ecommerce, mobile app development, analytics and AI/ML to our clients and pride ourselves in delivering best-of-breed products and services on time and within budget. Our solutions are implemented by world class team of experienced solutions architects, development engineers and Digital IT Managers and are promised to deliver a high quality, on time, highly scalable, easy to maintain, cost-effective solutions that accelerate growth. Data AnalystAtlanta, GA (Remote work is allowed)FULL TIME & Contract roles are available JOB SUMMARY: The individual in this position is responsible for supporting data pull needs for the Marketing team based on direction provided by Analytics & Marketing team members. Tasks will primarily be focused on running day to day data pulls and program measurement needs submitted by analysts. This person will have the ability to pull data from multiple SQL databases, connect data between the sources and create summaries using excel/ Tableau to support ad-hoc needs. ESSENTIAL FUNCTIONS:Run queries to match excel lists received from marketing partners against database, using logic created by the analytics team. This supports marketing program performance measurementPull data from SQL databases, using existing queries and cubes.Build data classification logic in Excel, to support further analyses.Blend and analyze data from GA 360 (or) Strong understanding of Machine Learning Workflow Management. Any one is desired. Use views created in visualization tools (like Tableau) to support ad-hoc data requests.Coordinate with IT to pull necessary data elements for use by analytics & marketing team members.Replicate excel models built to calculate profitability of customer accounts.Reconciling data between different sources and being able to define logic to always use the primary source of truth for each metric.Build strong relationships with existing/new vendors to aid in achieving our commercial strategic goals.Acquire, manage and analyze external data alongside internal data.Maintain data integrity across all measured data sets. Skills RequiredSQL ExcelTableau Python SnowflakeAmazon Web Services CloudGA 360 (OR) Machine LearningSuitable candidates can APPLY for this job.",6 days ago,Mid-Senior level,Full-time,"Information Technology, Engineering, and Consulting",IT Services and IT Consulting and Software Development
Data Analyst,SDG Group USA,"New Jersey, United States","SDG Group is a rapidly growing global management consulting firm that specializes in DataAnalytics. We have practices across Business Analytics, Data Management, Advanced and PredictiveAnalytics, and Business Insights. We partner with leading technology companies and collaborate with SDG offices globally to drive innovative solutions that enable some of the world’s largest companies to improve decision-making processes and performance based on data.This remote position is based out of in Chicago, IL / Bedminster, NJ / Boston, MA.Who we are looking for:We are looking for smart, hardworking candidates who excel in fast-paced, results-orientedenvironments. We look for candidates that take initiative and have a strong sense of responsibility. The candidate must be able to work within a team, communicate openly and honestly, and be comfortable building relationships with internal team members and our clients.If you have 1-2 years of experience utilizing data analytics solutions and would like to take your career to the next level within a rapidly growing and dynamic organization, join the SDG family! SDG is a company full of opportunities and committed to the success of our customers and the development of our employees.Responsibilities:In collaboration with the other members of your team and your supervisor you will be in charge orparticipate in the following activities:Business requirements mapping to functional and technical designData structure analysis and data model designDevelopment of data transformation processesImplementation of metrics and visualizationsFront-end and user interface developmentWorking with team members by converting business requirements to achieve functional and technical designQualifications:Strong passion for data and technology with the aspiration to work in management consultingDemonstrated experience using SQL, Python or related languagesKnowledge of BI technologies, data modeling, data management0 to 2 years of work/internship/academic experience in data analysis, data technology, business intelligence, analyticsExperience working with modern Business Intelligence, Analytics, or Data Management technologiesOutstanding oral and written communication skillsAbility and willingness to digest technical business information and present that with sensitivity to business stakeholdersAbility to build strong relationship with internal team members and client teamTeam Environment OrientationProductivity and autonomy, eager to accept challengesDesired:Experience working in the Pharmaceuticals, Manufacturing, Consumer Products, or Retail industryPossesses qualities such as entrepreneurial, ambition, proactive, detail-oriented, collaborativeExperience with SQL and/or Qlik SenseWhat do we offer?Full-time employment in an exciting and growing high-tech industry with a competitive salaryA professional career with opportunities for personal and professional growth and rapid careeradvancement based on meritocracyA creative and innovative work environment with Smart working options (flexible working hours,good mix of on-site and remote)Robust Healthcare and Benefits package including Medical, Dental, Vision, Disability coverage, andvarious other benefit options401k Retirement plan with Employer match3+ weeks paid vacation and flexible holiday schedule",6 days ago,Entry level,Full-time,"Consulting, Information Technology, and Project Management",IT Services and IT Consulting and Business Consulting and Services
Data Analyst,MARQ Labs,"Nashville, TN","THIS IS A FULL TIME, ON-SITE POSITION LOCATED IN NASHVILLE, TN.LOCAL CANDIDATES PREFERRED, NO RELOCATION ASSISTANCE PROVIDED.The Data Analyst is responsible for successfully establishing an environment that embraces the continuous improvement process, drives continuous improvements and cost efficiencies throughout the business, aligns priorities with customer requirements and partners with the team to support changes using data analytics reporting processes. Responsibilities:Provides data to assist in the management of optimum inventory levels, product availability, weekly / monthly supply plans that meet the needs of the business and ensure business success while ensuring manufacturing efficiencies and optimum capacity utilizationsWorks closed with the Sales Data Analyst in developing sales and demand forecasting, planning, budgeting and analysis processes to forecast, track, monitor and analyze sales activity and trends within sales accounts or sales channels as it relates to purchasing and sourcing materialsProvides analytics that monitor inventories and maximizes product availability, minimize backorders, maximize manufacturing efficiencies, manage the flow of product and improve distribution costsAssists with the development of new product launch requirements with a specific focus on procurement lead times and product delivery.Provide analytics for new product launch planning including production scheduling, inventory management, and change managementProvides data to identify obsolete processesManages root cause analysis and solution based projects as necessary Provides replenishment and logistics support Demand planningCommunication with planning and replenishment teams Produces KPI reporting and trends, and provides insights for variance and key analysis.Works within multi-functional teams to develop strategies to implement initiatives from data analysisBuilds and maintains strong, effective working relationships .Other duties as assigned.Minimum Qualifications/Experience:Bachelor’s degree in related field preferredMinimum 1-3 year’s experience in data analysis, purchasing/sourcing or supply chain forecasting and/or sales forecasting tools.An equivalent combination of education and experience may be consideredMust have extensive PC skills including spreadsheets, databases, and presentation applications.Must have strong analytical, written, verbal, and presentation skills.Experience in or demonstrated ability to work with people/teams without formal responsibility and interacting and building rapport with teams of all levelsPhysical RequirementsProlonged periods sitting at a desk and working on a computer.Must be able to lift up to 15 pounds at a time.",4 days ago,Associate,Full-time,"Analyst, Strategy/Planning, and Administrative",Personal Care Product Manufacturing and Manufacturing
Data Analyst,TaCito Direct,"Dallas, TX",We are a Direct Mail and Email Marketing company. We acquire database lists and put them in a format for printing and mailing or emailing. We use Altryx and Excel.TaCito Direct is the Nation's Expert in Direct Response Advertising. You will join a team with a 40+ year history of proven products and services in the automotive industry.,6 days ago,Entry level,Full-time,Information Technology,Advertising Services
Data Analyst - Recent Graduate,PayPal,"Scottsdale, AZ","At PayPal (NASDAQ: PYPL), we believe that every person has the right to participate fully in the global economy. Our mission is to democratize financial services to ensure that everyone, regardless of background or economic standing, has access to affordable, convenient, and secure products and services to take control of their financial lives.Job Description Summary:We are seeking world-class problem solvers who have a passion for data and a relentless focus on execution and delivery. You will be most successful with a healthy combination of both, technical skills and business acumen. As a Data Analyst you will generate insights by conducting extensive analyses of PayPal’s rich data. In the process, you will develop a deep understanding of the payments business, our site functionality, further strengthen your analytic, leadership and presentation skills and gain exposure to a wide variety of functional teams within PayPal.Job Description:Key ResponsibilitiesUnderstand how to make data visually appealing and simple to both navigate and comprehend for end-users Aggregate data from various sources to construct streamlined data pipelines and integrate data from multiple PayPal systems Identify key metrics and build exec-facing dashboards to track the progress of the business and its highest priority initiatives Identify key business levers, establish cause & effect, perform analyses, and communicate key findings to various stakeholders to facilitate data driven decision-making Work closely across the matrix with teams like Finance, Marketing, Product, Engineering and senior executives Lead and participate in special projects/initiatives: innovate and implement large-scale quality improvements to processes and/or systems by conducting data analysis and making recommendations, troubleshooting technical issues, and refining processes around customer support Basic Requirements:Experience with any or multiple of the following: Python, Java, Tableau, Jupyter Notebooks, Teradata, Hadoop/Hive, Oracle, JavaScript, SQL, Airflow, Linux, Perl, PHP Excellent understanding of computer science fundamentals, data structures, and algorithms Demonstrated experience, familiarity and ease with handling large data sets and crunching numbers Information Retrieval (search/recommendation/classification) experience or Human Judgment/User Interface experience Strong written and verbal communication skills with the ability to translate complex problems into simpler terms, and effectively influence both peers and senior leadership Recent Graduate Position Information and Requirements:This is a Recent Graduate Full-Time position. Must have graduated within the past 12 months, or will be graduating by Spring 2023, with a Bachelor’s or Master’s degree in Computer Science, Mathematics, Statistics, or related field from an accredited college or university. Must reside in the U.S. Must be able to obtain authorization to work in the U.S. Application ProcessNote - This job posting is a general advertisement for all PayPal Data Analyst opportunities for recent graduates. Applicants will be asked to complete a skills assessment via HackerRank Following the assessment, applicants will hear back from a University Recruiter with next steps.Position Location: Varies within U.S. PayPal Office LocationsglobaluniversitygraduatedataanalyticsOur Benefits:At PayPal, we’re committed to building an equitable and inclusive global economy. And we can’t do this without our most important asset—you. That’s why we offer benefits to help you thrive in every stage of life. We champion your financial, physical, and mental health by offering valuable benefits and resources to help you care for the whole you.We have great benefits including a flexible work environment, employee shares options, health and life insurance and more. To learn more about our benefits please visit https://www.paypalbenefits.comWho We Are:To learn more about our culture and community visit https://about.pypl.com/who-we-are/default.aspxPayPal has remained at the forefront of the digital payment revolution for more than 20 years. By leveraging technology to make financial services and commerce more convenient, affordable, and secure, the PayPal platform is empowering more than 400 million consumers and merchants in more than 200 markets to join and thrive in the global economy. For more information, visit paypal.com.PayPal provides equal employment opportunity (EEO) to all persons regardless of age, color, national origin, citizenship status, physical or mental disability, race, religion, creed, gender, sex, pregnancy, sexual orientation, gender identity and/or expression, genetic information, marital status, status with regard to public assistance, veteran status, or any other characteristic protected by federal, state or local law. In addition, PayPal will provide reasonable accommodations for qualified individuals with disabilities. If you are unable to submit an application because of incompatible assistive technology or a disability, please contact us at paypalglobaltalentacquisition@paypal.com.As part of PayPal’s commitment to employees’ health and safety, we have established in-office Covid-19 protocols and requirements, based on expert guidance. Depending on location, this might include a Covid-19 vaccination requirement for any employee whose role requires them to work onsite. Employees may request reasonable accommodation based on a medical condition or religious belief that prevents them from being vaccinated.REQ ID R0092223",1 week ago,Not Applicable,Full-time,Information Technology,"Software Development, Technology, Information and Internet, and Financial Services"
Data Analyst,Detroit Chassis LLC,"Detroit, MI","Job SummaryThe Database Analyst will maintain data storage; assess database design; and gather, organize, and interpret statistical information based on the data in the database.Duties/Responsibilities Oversees database development and modification efforts Designs and implements secure, efficient, and accurate databases Maintains current and accurate knowledge of data storage and management best practices Ensures that databases are designed to meet specifications and requirements at the lowest possible costs Ensures that database projects are completed on time and within estimated costs Develops and maintains documentation and standards Assists Senior Database Analyst and identifies and resolves production and/or applications development problems related to the use of the database management system software or utilities Gathers, organizes, and interprets statistical data from the database to provide reports to, and answer questions from, upper management Performs other related duties as assignedRequired Skills/Abilities Excellent verbal and written communication skills Proficient in Microsoft Office Suite or related software Tableau, Power BI, SGL, Microsoft Office, Data Verification Excellent organizational skills and attention to detail Understanding of computer languages used within database Understanding of database design and constructionEducation And Experience Bachelor’s degree in Business Administration, Statistics, Mathematics, Accounting, or Computer Science or equivalent work experience required At least three years in Data Processing, with at least two years of experience with database management systems; OR two years as a development programmer/analyst using database techniques under IMS/DB-DL/1 requiredPhysical Requirements Prolonged periods sitting at a desk and working on a computer Must be able to lift up to 15 pounds at timesDetroit Chassis, a subsidiary of SPECTRA LLC, produces rolling chassis, complex subassemblies and modules, and complete vehicles for the automotive, RV and commercial truck industries, with one stop design and engineering solutions.",4 days ago,Entry level,Full-time,Information Technology,Motor Vehicle Manufacturing
Data Analyst,Woodgrain,"West Des Moines, IA","Purpose How does the position contribute to the success of the operation, division and company?This position will partner directly with all Woodgrain divisions to optimize the data from multiple systems, leveraging our analytics platforms, to provide information in a manner which leads to faster business decisions which benefit the company’s goals. The primary responsibility is the creation and maintenance of reports and dashboards in the Woodgrain Business Intelligence Platforms. This position will help deliver new functionality as well as support existing functionality. This position will partner with the IT Functional Analysts and interface with the business users when discussing new or revised reporting or integration technology requirements including: Data Warehousing, Data Modeling, or Data Visualizations. This position will develop solutions in our existing Woodgrain analytics technologies, as well as research, pilot and test new technologiesEssential Duties, Responsibilities, Expectations and Performance Measures What measures or metrics will the individual be measured on and what level of performance is required? Other duties may be assigned.This individual is responsible for:Create and Maintain BI Reports (SAP Business Objects, SAP Analytics Cloud, Alteryx, SSRS, others)Create and maintain Queries and SAP Universes for BI ReportsProvide support to our business partners as they have questions on reports or functionalityConstantly be improving owned services through customer feedback and self-measurementBuild positive relationships with customers and teamsPerform analysis, design, development, implementation, and support of Business Objects solutions and other enterprise BI reporting solutions to support business reporting needs, including queries, reports, dashboards, and other BI outputConfiguration and development in the SAP Business Objects and SAP Analytics Cloud environment, including testing, implementation, problem solving, debugging, and data validationProvide training to users of the Business Objects, Analytics Cloud, and other enterprise BI toolsSupport the success of reporting for continued SAP implementationsKeep personal assignments organized and prioritizedAccurate and timely solution delivery through internal and coordinated functional analyst validationsAssist in support, migration, and retirement of legacy reporting systemsKnowledge/Skills/Education And Continuous TrainingWhat skills/certification/education must the individual have/maintain/gain? Include any degrees, certifications, and licenses required.Excellent communication, telephone & interpersonal skills, and strong verbal and written communication skillsStrong customer service abilities to interact with users with professionalism, composure, and empathyThe ability to analyze and understand business processesBasic understanding or ability to learn business use of SAP modules (such as FI, SD, MM, PP, HR, etc.) Experienced with SAP Business Objects (Web Intelligence), SAP Analysis for Office, Crystal Reports, Security, CMC, SACExperienced with Microsoft SSIS, SSRS, SSAS, subscription and job management and Data Stage ToolsStrong Microsoft Excel concepts and functionality utilization Proficient with SQL scripting and query analysisExcellent organizational and documentation skillsStrong analytical, troubleshooting, root cause analysis and problem-solving skillsExceptional interpersonal skills and ability to work in a team environmentMust effectively collaborate with technical and non-technical individualsAbility to work with groups of people in constructive discussion, brainstorming, and decision-makingAbility to learn independently, virtually, or in an office settingAbility to learn new concepts independently while maintaining effective communications with other team membersQuality and results oriented with special attention to detail and task completion Powered by JazzHR4lWpcQmEQZ",5 days ago,Mid-Senior level,Full-time,Information Technology,Wholesale Building Materials
Junior Data Analyst,Insight Global,"Chicago, IL","Immediately hiring for 21 Junior Data Analysts sitting FULLY REMOTE!These are very quick moving, with a one and done interview / resume review and starting on October 31st!SEEKING:2+ years experience in data entry, data analysis, data management or data manipulationStrong Excel experience (VLOOKUP, Pivot Tables, etc)Report Analysis- taking results of reports and looking in system to identify core data elementsDay to Day:An employer is looking for Jr. Data Analysts to join their team remotely. This process is currently decentralized, and this organization is bringing this function together by standing up a Center of Excellence – Affordable Care Act. These analysts will be supporting different clients with different processes in place and will help streamline this function of the business. They will be interacting with internal clients cross functionally via website- not working with external clients.Auditing data to decipher whether employees are eligible for benefits or not- produce reports with details and communicate impact to internal teamDepending on the data, moving people (manually or create import)If yes- window to enroll in benefitsOr losing coverage- end date and cobra filesPerform audits around zip codes and addresses – ensure employees are in the right plan based on where they liveAudit ACA data to ensure employees have the right generated code for your salary, geography etc.Handle filing with the IRSResponsible for processing 1095/1094 forms for the current tax filing yearTaking demographic and eligibility data from the year to ensure 1095c is accurate and what is sent to IRS is accurateData elements to make sure the system is doing what is supposed to do, and if not-- correcting that dataSystem could be wrong, bad data has come in from the vendor and or clientWork on reprocessing/refiling of past year forms",1 week ago,Associate,Contract,Other,Staffing and Recruiting
Data Analyst,Tata Consultancy Services,"Washington, United States","Position Description:As a Data Analyst - you will be trained on Analytics, Data Engineering, Visualization, and software applications associated and then get deployed on projects to the world class clients we serve. Campus hires begin their careers with TCS in the Initial Learning Program. A fully paid training program designed to provide you with the information and training necessary to succeed at TCS and excel at client sites. However, the learning does not stop there! TCS is committed to the continuous growth of its associates, in line with the core value of Learning & Sharing. We offer a Continuous Learning Program that spans technologies, domains, processes and soft skills. In addition, TCS associates are encouraged to undertake certifications and accreditations in a wide range of subject areas. With clients located across the US and globe, TCS can offer great flexibility in work location, excellent career advancement, and a variety of opportunities. TCS’ mentoring, career development, and on-the-job training ensure a smooth transition into your professional life and orient you to our culture, values, vision, and mission.Responsibilities:· Work closely with IT and Business team to understand information requirements and business rules.· Conduct data analysis as per project requirements· Ability to convert business requirement into meaningful and explanatory visualization· Understand and review various source specification documents and define data derivation and mapping rules for extracting data from various data sources· Create mockup layout design and wireframes using visualization features available in Tableau· Good in data Storytelling and chart optimization.· Define data derivation and mapping rules for extracting data from various data sources.Requirements:· Computer Engineering (CE), Computer Science (CS) or Software Engineering (SE), Information Technology, Information Systems, Management Information Systems, Math, Physics, Statistics or related· Knowledge of basic computer science concepts, programming, Information Systems, Python and Statistical models.· Interest and willingness to travel and relocate· Experience in Python, SQL &Tableau preferred .Qualifications:· Outstanding attention to detail and capacity to demonstrate continual learning· Exceptional analytical and problem-solving capabilities· Excellent deductive and inductive reasoning skills· Strong interpersonal verbal and written skills· Ability to work both individually and with team.",1 week ago,Entry level,Full-time,Information Technology,IT Services and IT Consulting
Junior Data Scientist,Proven Recruiting,"Austin, TX","What you'll do:Support long term Data Science projects leading advanced analytics and building visualizations Learn experimental design methodologies, advanced statistical techniques, machine learning algorithms Requirements:1-2 years of experience in Data Analytics, BI Analytics or Statistical AnalyticsBachelors Degree required SQL, Python programming skills Please respond directly to this ad or email a resume to mhuffman@provenrecruiting.com",2 days ago,Entry level,Full-time,Engineering and Information Technology,Staffing and Recruiting
Data Scientist,Blu Omega,United States,"Blu Omega is a Woman Owned Small Business (WOSB) IT services firm. We provide Technology solutions for enterprise and government customers. Our team has a past performance in a diverse range of programs including those for Data Management, Cloud and Infrastructure, Software Development and Enterprise Applications.Currently, we are looking for a Data Scientist to join our team that supports multiple federal programs. This is a remote role, responsible for supporting customers in the Eastern Time Zone.Job Description:The Data Scientist will provide cross-organizational support for various modeling and analytic needs for federal customers, including conducting and developing frameworks to build machine learning and predictive models. In addition, this role will be involved in vetting tools and technologies as part of the organizational technology roadmap, bringing innovation and critical input on the viability of tools to meet emerging federal customer needs. This role is crucial to the organization, understanding customers and use cases and applying proven data science techniques to meet various needs. Some of the required tasks include, but are not limited to, the following:Research, design and develop analytic models including predictive models using machine learning and deep learning best practices using languages such as Python and RDevelop processes and best practices for training various predictive models including training and test data sets and timelinesConduct data mining, data preparation activities in support of identifying and researching fraud, waste and abuse and other use cases using SQL and other techniquesLeverage additional analytic techniques in support of research such as geospatial and graph analyticsBuild reports to summarize analyses including various charts, graphs and other visualization to be understood by customersComplete training and vet new tools and technology designed for data science work including machine learning and predictive analytic platformsConsult with customers and other internal staff to identify use cases, analytic needs and conceptualize methodologies for solvingRequirements:Five (5) or more years of hands-on experience developing analytic rules and models using machine learning and other predictive analytics techniques.The data scientist should have a mix of skillsets to include Graph analytics, Programming (Python, SQL, R, etc.), Machine Learning, Geospatial, Cloud data management, Big Data, Data wrangling, processing of large data sets, Natural Language Processing, Math and Statistics background, Data Visualization, and Storytelling skills.Experience using modeling platforms such as Databricks or RStudio.Experience handling and researching big data sets including volumes in hundreds of millions; understanding of optimizing queries to improve performance.Experience with data visualization tools or business intelligence tools such as Tableau.Experience with AWS SageMaker is a plus.Strong verbal and written skills.US Citizenship or Permanent Residency/Green Card holder.Able to obtain and maintain a Public Trust.No third parties.",5 days ago,Mid-Senior level,Full-time,Engineering and Information Technology,IT Services and IT Consulting and Software Development
Data Scientist,Oarbt,"New York, NY","We are looking for a Data Scientist to analyze large amounts of raw information to find patterns that will help improve our company. We will rely on you to build data products to extract valuable business insights. In this role, you should be highly analytical with a knack for analysis, math and statistics. Critical thinking and problem-solving skills are essential for interpreting data. We also want to see a passion for machine-learning and research. Your goal will be to help our company analyze trends to make better decisions.ResponsibilitiesIdentify valuable data sources and automate collection processesAnalyze large amounts of information to discover trends and patternsUndertake preprocessing of structured and unstructured dataBuild predictive models and machine-learning algorithmsCombine models through ensemble modelingPresent information using data visualization techniquesPropose solutions and strategies to business challengesCollaborate with engineering and product development teamsRequirementsProven experience as a Data Scientist or Data AnalystExperience in data miningUnderstanding of machine-learning and operations researchKnowledge of R, SQL and Python; familiarity with Scala, Java or C++ is an assetExperience using business intelligence tools (e.g. Tableau) and data frameworks (e.g. Hadoop)Analytical mind and business acumenStrong math skills (e.g. statistics, algebra)Problem-solving aptitudeExcellent communication and presentation skillsBSc/BA in Computer Science, Engineering or relevant field; graduate degree in Data Science or other quantitative field is preferred",5 days ago,Mid-Senior level,Full-time,Analyst,Software Development
Artificial Intelligence / Machine Learning Engineer Asc Mgr,Lockheed Martin,"Moorestown-Lenola, NJ","The Enterprise Operations Applied Artificial Intelligence Team is looking for a Machine Learning Engineering Associate Manager who will provide functional and technical leadership to a team of Artificial Intelligence & Machine Learning engineers. The ideal candidate will possess passion for conceptualizing, building, testing and maturing AI systems.The selected candidate will lead a range of projects including short-term sprints (rapid prototyping) and long-term engagements (integration, maturation of prototypes) and will be responsible for the technical execution of AI system development and integration activities for a number of simultaneous programs. The chosen candidate will be engaged in system development activities throughout the entire project life cycle, including requirements generation, system and software design, implementation, integration and flight test while ensuring the appropriate standards, processes, procedures, and tools are applied on assigned programs. This candidate will apply technical standards, principles, theories, concepts and techniques in the software field to develop tangible, differentiated and meaningful solutions aimed at significantly enhancing the sustainment of complex systems and enabling future hyper-battlespace capabilities. The chosen candidate will also advance the craft of software engineering, implementing new techniques and leveraging AI to create state-of-the-art technologies.From a functional perspective, the candidate will provide career development and guidance, perform merit and salary actions, develop training plans, and support recruiting, hiring and staffing activities.In addition, the selected candidate will support the development of product line road maps, pursue new business opportunities, and assist in new business captures.The candidate must exhibit self-motivation, a strong work ethic, time management and interpersonal skills.Remote work is an option, but there is a strong preference for the selected candidate to be located in the greater Philadelphia area and willing to come into the office 25% of the time for test events, lab activities, and classified meetings.Must be a US Citizen.",2 days ago,Entry level,Full-time,Engineering and Information Technology,Defense and Space Manufacturing
Machine Learning Research Scientist,Neural Magic,"Somerville, MA","Neural Magic is an early-stage AI software company democratizing high performance for deep learning models. Our goal is to reduce the cost and increase the performance of end-users deploying deep learning applications. Based on decades of research at MIT, Neural Magic has developed a software platform that allows developers to sparsify deep learning models to minimize footprint and run on CPUs at GPU speeds. Please look through our website and GitHub repos to get a feel of what we are about.Founded by an award-winning team of computer scientists and researchers out of MIT, we are a venture-backed company headquartered in Davis Square, Somerville, MA. Our investors include Amdocs, Andreessen Horowitz, Comcast Ventures, NEA, and Pillar VC.We are seeking a machine learning research scientist with a proven publication history related to model compression techniques such as pruning and quantization. This person will work closely with our research team to identify, report on, and create new algorithms within the deep learning field. If you are someone who wants to contribute to solving challenging technical problems at the forefront of deep learning, this is the role for you!ResponsibilitiesUse your deep understanding of machine learning to tackle meaningful technical problemsCollaborate with product development teams to transfer your ideas into product solutionsPerform fundamental research by defining, designing, implementing, and evaluating algorithmsActively engage with the academic community by collaborating with universities, publishing and presenting your work, and attending conferencesRequirementsProven experience as a machine learning researcher with a publication history in model compression techniques such as pruning and quantizationStrong background in deep learning with expertise in one or more of computer vision, NLP, speech, reinforcement learning, generative models, etcKnowledge of common ML frameworks (like PyTorch or Keras) and libraries (like NumPy and scikit-learn)Strong programming skills with proven experience prototyping and delivering advanced algorithmic solutionsAbility to explain and present analysis and machine learning concepts to a broad technical audienceCreative, collaborative, and innovation-focusedStrong sense of project ownership and personal responsibility Ph.D. in Computer Science, Mathematics or similar fieldWe are an equal opportunity employer. All applicants will be considered for employment without attention to race, color, religion, sex, sexual orientation, gender identity, national origin, veteran or disability status.",3 weeks ago,Mid-Senior level,Full-time,Engineering,Software Development
Healthcare Data Scientist,Lawrence Harvey,"New York, United States","Data Scientist – HealthcareNew York, NY or Atlanta, GeorgiaHealthcare investment firm is looking to bring on a experienced Data Scientist who has vast knowledge of healthcare data.The RoleAs a key member of the data science team, you will join a talented team to evolve our vision of how we collect, organize, and analyze vast amounts of data. In this role you will combine your knowledge of healthcare with data science to provide analyses that are used in investment decision-making. We onboard and ingest massive amounts of data from several different soruces data sources and possess a rich data environment. You will leverage this data to deliver insights that drive our understanding of market launches, payer behavior and healthcare delivery.The ideal candidate is a healthcare domain expert with experience using claims data, payer data and electronic health records data to perform complex analytics. Driven by curiosity and a passion for creative and collaborative problem-solving, you will develop tools and models that are used by our investment analysts to advance healthcare.Education:Undergraduate degree in any quantitative field including, but not necessarily limited to, Engineering, Computer Science, Mathematics, Physics or Life Sciences. Graduate degree preferred.Preferred Experience5+ years in a data analytics or science role with demonstrable success using a variety of data science tools and methodologies in statistical analysis and machine learning. In other words, a capable and versatile data scientist who values problem-solving, rather than a specialist in one sub-specialty or tool.Required Skills: Advanced SAS, SQL, Claims Analytics,statistics, machine learning, payer analytics, healthcare domain expertisePreferred Skills:Experience with healthcare claims data, IQVIA, PriceRx, MMIT data sets",1 week ago,Mid-Senior level,Full-time,"Engineering, Health Care Provider, and Information Technology",Insurance and Hospitals and Health Care
